review,rating,category
"lumayan, yg dikirim tdk sm persis dgn yg gambar...",3,laptop
👎👎👎👎 garansi ta ada.minta merah.dikirim biru.untuk pengiriman cepat,2,handphone
"tas y lumayan bagus,..",5,laptop
Mantull beeeettttt,5,tablet
"barang mah bagus, pengiriman cept, cm motif tidak sesuai dg orderan.",4,tablet
"barang sampai jam 10:30 kemarin, 😢 katanya batrainya tahan seharian. posisi sekitar jam 16:00 batrai 20% trus saya cas posisi ho mati. abis dicas jam 5 sore 100% jam 02:28 pagi dini hari batrai udah berkurang ni cuman 10 jam batrai dari posisi penuh kok tinggal 37%",2,handphone
good lah ya wlopun gk ada bonusnya,4,handphone
Ga ada padlocknya...,1,laptop
saya pesen. yg doraemon tapi doraemon nya udah buluk tapi semenjak sya beli g ada apapun sya sedikit kecewa. y gapapa lah trrimakasih seller dan lazada . jangan di ulang lagi y👌,4,tablet
gak sesuai pesanan,1,tablet
good bagus 😙,3,tablet
"TOLONG diperhatikan  estimasi waktu yg diberikan dan KEMASAN pesanan pelanggan.
Agar kedepannya JASA PENGIRIMAN anda bisa LEBIH BAIK.",1,laptop
"kok pengetahuan nya barang udh sampai tapahal blom kita terima,gima sih lazada,baru x ini kecewa",1,laptop
"tidak seperti yang diharapkan, gambar yang tampil dari video hitam putih tidak berwarna dan tidak full screen pinggirnya ada bayangan hitam",3,laptop
indomie rasa tablet oke bgt dah..,5,handphone
Kualitas barangnya sungguh murahan sesuai dg harganya yg sangat murah,2,laptop
Barang sesuai sama foto dan siip kualitas baik,4,tablet
pesan warna hitam kenapa yg datang warna coklat dah gitu bukan kain kanvas...,2,laptop
sudah di batalin Masi aja di kirim,1,laptop
"Charger-nya baru satu kali pakai udah nggak berfungsi. Nanya bisa ditukar apa nggak via chat malah nggak bisa jawab. Aneh. Harusnya kan masuk ke dalam garansi. Waktu nanya-nanya tentang produk juga seolah diarahkan disuruh langsung beli aja, nggak boleh kebanyakan nanya.",2,handphone
Lmynlah.,2,laptop
"terimakasih lazada, barang diterima dengan kondisi yang baik.. .. 
saran konsumen lebih dipercepat wsktu pengirimannya.. tanks",4,handphone
Sesuai estimates everything it's good,3,handphone
"Barang ok
Tapi bonus kartu axis quota ng dimasukkan",3,handphone
Kecewa,3,handphone
Tidak sesuai dengan gambar packing hanya menggunakan plastik bening saja ..,2,laptop
"Barangnya bagus si😍
kurirnya gak ramah asem😏",3,tablet
"barang sudah di terima, saya kecewa belanja disini pesan warna abu2, kenapa yg dateng warna coklat, model aslinya juga beda dengan yg di foto, lalu tidak dapat cover tas nya",1,laptop
Barang g pas dicemera,1,tablet
maf baru kasih ulasan barang ny bagus mulus gk ada lecet sedikit pun barang sesuai relpic saya suka😍😁,5,tablet
pantek gak sesuai,2,laptop
"Okay jadi untuk produknya sendiri saya kira tida ada masalah since ini dari LazadaMall, semua tau reputasinya barang dijamin Ori dan sebagainya. Namun demikian izinkan saya mengulas di bagian pelayanannya dan pengirimannya. Untuk pelayanan mungkin bisa lebih fast respond lagi dan lebih jelas dalam menyampaikan info. Terkhusus bagi saya yang cenderung belum familiar menggunakan Lazada butuh penyampaian yang lebih detail terkait teknis transaksi. Terus untuk pengiriman relatif agak lama ya. Dan yang agak fatal adalah kurir tidak langsung menyerahkan barang ke saya dan tida ada konformasi ke saya terkait kepada siapa barang diberikan. Luckily, yang menerima adalah satpam perumahan, padahal tidak jarang banyak orang lain yang standby disana dan bisa jadi barang tidak sampai. Jadi mungkin bisa lebih diperbaiki baik dari merchant maupun Lazadanya karna toh kedua ini saling berkesinambungan kan. Kalo salah satu tidak baik akan mempengaruhi preferensi pembeli dalam memilih merchant/platform.",3,handphone
motif kurang suka.,3,tablet
lumayanlah untuk harga segini..cuma bahannya emang agak tipis dibanding tas navy club yg lain..,4,laptop
thanks,4,laptop
"kecewa saya pesen kucing abu ug dikirim item sangat kecewa,,tolongg dong di periksa sebelum di kirim tanggung jawab juga dongg lapakk aneh udh salah enggak tanggung jawab",1,tablet
"Barang datang cepat dan sesuai dengan deskripsi, pokoknya puas dengan pelayanan Lazada..",4,laptop
Contoh barang dengan yg dikirim berbeda,2,laptop
susah yah kalau usaha cuma nipu orang..dasar toko gak amanah ..mau untung gede tapi harus nipu orang dulu..kalau jualan kalian kaya gini ampe kapan pun juga gak bakal berkah..😡,1,laptop
kecewa pokoknya barang yang di pesan gak sesuai.. di pesan warna hitam yang datang warna pink,2,tablet
Sangat parah ada white spot di layar. garansi juga gak jelas resmi atau bukan yg pasti bukan TAM,1,handphone
"GK sesuai pesanan...
diorder warna putih..yg datang warna gold..",2,handphone
"Untung langsung laku,",4,handphone
"ga lagi deh belanja di mari, kapok sama pengirimannya, seminggu lebih sampai, hampir 2 minggu.. pengirimannya lama banget...",1,handphone
kelemahan pada tangkapan signal jaringan,4,handphone
biasa aja sesuai harga dipasaran,3,tablet
"ini kenapa ulasan saya di tolak sih?? takut ketahuan busuknya ya?? 
di gambar dan tulisan tipe N2E.
tp yg dateng N1D
toko gak mutu.. moga cpet bangkrut",1,handphone
barang tidak sesuai pesanan saya mesan redmi 5plus. di kirim nya redmi 5A payah,2,tablet
terimakasih lazada packet nya sudah sampai dan kurir nya baik juga,4,tablet
Kasih 3 bintang dlu soal.a blm d buka,3,laptop
"sesuai lah sama harga nya,",2,laptop
Sesuai Pesanan...👍,5,laptop
"ini baru seller gercep 4 hari udah nyampe..
tas sesuai gambar ponak'an suka.
kurir dh langganan jdi hafal",5,laptop
"saya sangat kecewa sekali karna dalam dosnya tidak ada headset dan chargernya ditukar dengan yang bukan bawaan dari hp tersebut..........?





 karna ternyata dalam dosnua",2,handphone
Lumayan bagusss dipacking dengan rapih juga namun pengirimannya tidak tepat waktu padahal sudah pilih yang express dan jasa pengirimannya yg dipakai tidak dapat dilacak,3,handphone
"barang jelek,ga nyala sebelah",1,laptop
"Unitnya bagus, di wrapping nya aman bgt utk shipping nya, packaging juga rapih, windows lgsg di set up juga. Pertanyaan2 dijawab dgn baik.",4,laptop
Mksih pket.a dh sampai...,5,laptop
"kecewa hape nya sim satu ga bisa .. sim 2 doang bisa..
intinya hape minus ... 
semoga tokonya laku dan jaya....
dan jangan mengulanginya lagi.. 
hape minus jangan di jual ....!!!!",1,tablet
pengiriman 7 hari lambat,2,tablet
Bahan tas bagus. . Oke..    Tp untuk tali slempangnya kurang oke...  . Trimakasih lazada.  Trimakasih bag solution.,4,laptop
Barang sesuai pesanan ok punya thks lazada..,5,handphone
bagus banget kurirnya ramah tapi........belum bisa ngoneksi ke hpnya😁😁😀😄,5,laptop
"kacau,,maklum hp china namanya jg blm nginstal aplikasi apa apa lemotnya parah,pindah dr menu tlfn ke pesan aja lama nyaaaaa luar biasa,,,mending beli hp seken wkwkwkwk ,kacau kacau kacau",1,handphone
"barang oke , bonus komplit. tapi pengiriman lebih lambat 2 hari dari estimasi . karena pesanan overload. overall ok.",4,tablet
batre boros,2,handphone
"barang sdh diterima dgn baik, earphone berfungsi tp charger tdk bisa dipakai krn kabelnya tdk bisa dimasukin ke lubangnya. bs dituker ga?",3,tablet
"Cepat sampai, kualitas barang sesuai harga.",5,tablet
"Beli 5 tp cuman 1 yg di coba
Lumayan suaranya ngebas cocoklah dgn harganya",5,laptop
ram hpnya g ada...,3,tablet
"mantaap barang nyaa mantuul,..mantap betuul",4,handphone
"bintang 4 aja dulu, karna pengiriman nya lama poooll, barang sih bagus bahan tebel pas lah buat anak SMP/SMA . untuk harga segitu worth it lah",4,laptop
"ok banget, sesuai pesanan",5,laptop
"lacar panjang, batre badak, pokoknya sip.... cuma sayangny speakernya diatas kamera depan, pokoknya manteb deh sudah dapat harga promo.",4,handphone
"lemari ny bgus ,,,tp syg ny GK sesuai apa yg ku minta ,,mnta hellocat ,,di kasih ny cutegilr,,,tp gpp wlw kecw,,ak suka,, pengiriman ny fast,,,MLM pesen besok ny datng,,kurir ny jg sopan ,,mkch seller mkch lazada 😘",5,handphone
"Barang tidak sesuai dengan pesanan pesannya Oppo f 11 yg datang Vivo y91c
Dangan kecewa tolong di perhatikan lagi",1,tablet
lumayan lah..,3,laptop
"lama kali di prosesnya,bahan jelek",2,laptop
"barang 3hari sampe..blm dicoba kartu freenya.. lancar"" aja sejauh ini,hanya saja kamera kurang memuaskan..bagusan Oppo f1s(4/64Gb) saya yg lama walaupun kameranya ada 1.. (yg pke flash hasil kamera belakang,yg gk pke itu kamera depan).. tergiur dengan memori n ram tanpa melihat spek lain,hehe semoga awet 👍",4,handphone
Real pict cuma minus di carger aja selanjutnya agar pelanggan tidak kecewa di coba terlebih dahulu sebelum dikirim ke pelanggan😁 terimakasih lazada,3,tablet
ini gimana ya. bisa gak dituker warnanya. sya pesan yang grey yang datang wrna black. tolong infonya . trimakash.,1,laptop
Tolong ya quality control nya. ini head phone yang saya beli sebelah kiri gak ada suara nya. Kecewa sekali saya mau tukar,1,tablet
Ini beneran Xiaomi redmi note 4 snapdragon 625 RAM 4 GB internal 64 GB GARANSI RESMI??,2,handphone
"pengirimannya cepat,  barangnya bagus. ga ribet dan mengerti consumen. terimakasih.",5,handphone
pengiriman nya lama gambar salah saya sangat kecewa bangetttttttt,2,tablet
"Saya dah chat minta casing HP apa yg dtng HP apa, saya chat ke penjual dri penjual ga ada respon.. nyebelin bnget, saya beli bkannya minta.. chat dah 2 hari slsai brng sampe ga ada dibalas sma skali, blg mao tanggung jwb tapi ga ada respon sampe skali.. 👎👎👎",2,tablet
"pesen buat vivo s1
dikirim buat v15",2,tablet
"beli pas flash sale. ongkir 120 ribu. 2 minggu ditunggu, gak nyampe2. tiba2 order dicancel sepihak dengan alasan paketnya hilang. dana dikembalikan dalam bentuk voucher, akhirnya order lagi dengan harga normal (nambah 148 ribu). 1 minggu kemudian barangnya baru nyampe di tangan.

ini pengalaman berbelanja online terburuk.",1,tablet
barangnya bagus sangat memuaskan trim lazada ...,4,laptop
salah kirim,1,tablet
"Barang sesuai dgn gambar
warna case tidak terkelupas, hanya memang jika tidak pandai merawat akan cpat kotor
tpi barang cukup berkualitas dgn harga segitu.
Terima kasih 🙏",4,tablet
TOP BGT....,5,laptop
"Real real real pict pokok nya,,, bener"" top kondisi masih di segel 👍👍👍👍👍👍👍👍👍",5,handphone
sampainya cepat. tapy. baterainya cepat habis,3,laptop
"Produk sesuai deskripsi dan gambar. Warnanya bagus, isi di dalamnya juga bagus, banyak ruangnya, cocok banget buat kerja. Setelah coba dimasukkan laptop ukuran 14"" dan tablet ukuran 10"", berat masih bisa ditopang punggung dan bahu. Puas banget sama produknya. Oke buat cewek maupun cowok. Jempol deh!",5,laptop
"packaging aman, pengiriman cepat, barang cukup puas. tapi sayang untuk bonus tg nya tidak sesuai hpnya jadi kesannya kayak semaunya sendiri untuk bonus.. trims",3,handphone
hasil camera kurang jernih.. bersemut.. hampir sama dengan merk sebelah yg harga 1juta.. apakah ini hanya terjadi pada hp saya atau semua sama?.,1,tablet
mantap pengiriman barang super cepat🙏,5,handphone
kurang memuaskan tempergllas nya kurang bagus retakkk ...,2,tablet
Pengiriman cepat tapi kecewa tidak da kabel USB tdk sesuai dengan gambar,1,laptop
"barang bagus,,  sesuai gambar,  tpi tlinya kurang bagus...",4,tablet
Barang bagus. Pakingnya terkesan asal asalan.hanya d bungkus plastik. Terkesan seperti tas murahan. Resleting macet.,3,tablet
"Unit berfungsi dengan baik
Bateray gak awet cuma sejam habis ntah kenapa 
Kartu garansi gak di isi ama tko 

Paking cukup rapi dan sedikit aman",3,laptop
"Barang jelek. Tidak sesuai spek dengan yg sesungguhnya. Sy ingin krmbalikan, mohon petunjuknya. Leletnya kayak kutu. Klo tau begini, biar 100 rb, sy tdk akan beli. Tidak bisa main game, loading melulu, nonton youtube, tersendat sendat. Menyesal aku belinya.",1,tablet
Paket seauai pesasanan pengiriman ok thanks lazada,5,handphone
"Barang terkirim dengan cepat, Respon lazada over all OK. Tapi packing cuma plastik doang, warna beda sama yg di foto, realnya warna pudar kayak tas bekas, g ada kartu garansi, g ada cover bag,, kualitas barang menentukan kepuasan,, Thanks Lazada",3,laptop
masak iya penis smaa payudara😢😢mana ni buat anak sd.barang banyak yg rusak 🙄🙄..random sih randon gak barang kayak gitu dikirim,2,tablet
Barang untuk fungsi tombol M/EQ tidak berfungsi sehingga gk basa change mode,2,tablet
"Hp sdh rusak, LCD dan batery nya.cuma 2 minggu pakae, sekarang bingung mau service kemana?",1,handphone
"makasih paketnya udh dateng, barang sesuai pesanan",4,tablet
"Aduh Parah Banget saya sangat sungguh kecewa... Yg pertama Penggiriman sangat lama... terus barang nyh cuma ada 1, 1 lgi nyh mana? kok cuma ngirim 1 jempol doang aduhh... bungkus nyh pas nerima udh sobek duluan aduhhh",1,tablet
"paket tas pesanan saya sudah saya terima, bahan Produk tas Penjualan di toko anda lumayan bagus.

thanks kiriman'nya.....",5,laptop
kemarin aku beli tapi ga ad isi ny gmn sih jualan ko ga jjr gth sih,2,tablet
"beli ditoko lain aja, estimasi plg lambat tgl 10, tp tgl segitu status masih dalam proses, chat seller jawabnya msh dikonveksi, jd toko ini jual gbr aja, stok TDK ready, pengiriman msh lelet",1,laptop
bagus tapi kemasanya,5,laptop
"barang gak bisa kepake di laptop, gak pas di lobang laptop semuanya.
asli barang gak jelas... untung nyoba dlu satu bungkus tadinya mau beli 4 lusin bakal jual lagi. buat semua yg mau beli, mending jangan deh. karena ini barang gak bakal pas di lubang2 laptop kalian.",1,laptop
kamera nya jejek banget,3,handphone
barang baru pakek sudah heng,1,handphone
Kcewa warna gx sesuay warna,2,handphone
Tasnya sich ok cuma utk tali kurang yahut. Utk pengiriman saya puas barang datang lebih cepat makasih lazada & navy club,4,tablet
barang bagussssss bangettt nanti pesan lagiii,5,tablet
bintang satu berarti apa...kecewa saya,1,handphone
ada satu yg rijek yg sinchan,2,tablet
bagus banget kak lebih bagus dari fotonya warnanya soalnya agak gelap.terimakasih,5,laptop
"kaca anti gores nya ....banyak gores goresan,tisue pmbersig nya juga gada .. kecewa saya!!!!",1,tablet
"bagus sih, tp headset nya cm nyala sebelah",3,tablet
saya pesan navy sma kuning d kirim hitam kecewa,3,tablet
"Saya belum menerima barang paket yang sy terima kosong dan pada saat proses pengembalian dana saya ingin melihat proses pengajuannya dengan salah klik ternyata proses sy dibatalkan. Tolong segera diproses untuk pengajuannya kembali.
Kenapa kok malah jadi sy batalkan.",1,handphone
"Mungkin blm Beruntung Yaa,jdi Cumn dapet jam anak""",2,laptop
sip mantap barangnya bagus pengiriman cepat,5,laptop
Barang yg d kirim sangat jauh dg pesanan,1,tablet
good,5,handphone
"Saya pesan warna merah maroon
Kenapa warna hitam yang dikirim .",2,tablet
alhamdulillah barang udah sampe...tasnya bagus sesuai dengan harga.,5,laptop
saya pesan yg stich tapi nympe ny warna dan bahannya tdk sesuai gambar...kecewa,3,tablet
"Pabrikasi kurang baik, lubang speaker yang dibor tidak rapi dan rata, miring sebelah, lem keluar, seperti dipaksa dimasukkan, jujur agak sedikit kecewa sbg konsumen padahal sebelumnya saya sudah chat minta tolong agar dipastikan dulu barangnya normal atau tidak, karena saya sulit melakukan pengembalian karena rumah dinas jauh dari kota dan suasana pandemi Covid-19, kedepannya mohon diperbaiki lagi detail pabrikasi handphonenya, sebelum dikirim dipastikan lagi unitnya normal atau tidak, jangan membuat konsumen kecewa Team Xiomi dan Lazada, Terimakasih.",2,handphone
Barang Nya Sudah Sampai Pengiriman Sangat Cepat Kurir Nya Juga Ramah,4,tablet
tasnya lumayan bagus,2,laptop
bagus barangnya,5,laptop
tasnya bagus tpi msa ga ada talinya 😟,2,laptop
"packing rapi,pengiriman lumayan cepat, tapi tasnya ya memang harganya segitu..g diskon pun segitu",3,laptop
makasi barngnya sdh tiba,2,laptop
barang sudah sampai dengan selamat,4,handphone
Agak kecil. Tasnya tp ttp ok bahan bagus,4,laptop
"mantab, sesuai dan cepat respon",5,tablet
barang bagus... sayang warna tidak sesuai pesanan. pesen hitam yg dtg abu²...😄,4,laptop
